S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,1080000,-,1227,Strata,11 to 15,880,18-Feb
2,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1305000,-,1173,Strata,11 to 15,1112,18-Feb
3,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,2118000,-,1765,Strata,21 to 25,1200,18-Feb
4,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1050000,-,678,Strata,01 to 05,1548,18-Feb
5,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,938000,-,883,Strata,06 to 10,1063,18-Feb
6,THOMSON THREE,BRIGHT HILL DRIVE,Apartment,20,RCR,99 yrs lease commencing from 2012,Resale,1,1670000,-,1033,Strata,16 to 20,1616,18-Feb
7,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1165000,-,883,Strata,01 to 05,1320,18-Feb
8,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1875000,-,1292,Strata,06 to 10,1452,18-Feb
9,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 years leasehold,New Sale,1,2609000,-,2121,Strata,16 to 20,1230,18-Feb
10,THOMSON IMPRESSIONS,LORONG PUNTONG,Apartment,20,RCR,99 years leasehold,New Sale,1,1459295,-,1055,Strata,16 to 20,1383,18-Feb
11,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1200000,-,1378,Strata,01 to 05,871,18-Feb
12,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1958900,-,1399,Strata,01 to 05,1400,18-Feb
13,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Resale,1,900000,-,474,Strata,16 to 20,1900,18-Feb
14,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1557000,-,1012,Strata,16 to 20,1539,18-Feb
15,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,803000,-,484,Strata,06 to 10,1658,18-Feb
16,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1338000,-,797,Strata,26 to 30,1680,18-Feb
17,THREE 11,UPPER THOMSON ROAD,Apartment,20,RCR,Freehold,Resale,1,1800000,-,1130,Strata,01 to 05,1593,18-Feb
18,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,690000,-,764,Strata,01 to 05,903,18-Feb
19,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,620000,-,603,Strata,01 to 05,1029,18-Feb
20,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,1055000,-,1163,Strata,16 to 20,908,18-Feb
21,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,760000,-,484,Strata,01 to 05,1569,18-Feb
22,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1470000,-,1464,Strata,01 to 05,1004,18-Feb
23,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1576700,-,1012,Strata,11 to 15,1558,18-Feb
24,BISHAN 8,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1355000,-,1163,Strata,01 to 05,1166,18-Feb
25,COUNTRY GRANDEUR,LORONG PUNTONG,Condominium,20,RCR,Freehold,Resale,1,1780000,-,1442,Strata,11 to 15,1234,18-Feb
26,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,900000,-,872,Strata,06 to 10,1032,18-Feb
27,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1250000,-,1227,Strata,06 to 10,1019,18-Feb
28,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,1050000,-,1475,Strata,01 to 05,712,18-Feb
29,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1145000,-,1324,Strata,06 to 10,865,18-Feb
30,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,720000,-,635,Strata,06 to 10,1134,18-Feb
31,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1950000,-,1410,Strata,16 to 20,1383,18-Feb
32,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1850000,-,1399,Strata,16 to 20,1322,18-Feb
33,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,745000,-,495,Strata,06 to 10,1505,18-Feb
34,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1013000,-,678,Strata,06 to 10,1494,18-Feb
35,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1030000,-,1001,Strata,11 to 15,1029,18-Feb
36,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,930000,-,1023,Strata,06 to 10,909,18-Feb
37,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1150000,-,1130,Strata,16 to 20,1018,18-Feb
38,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1060000,-,1227,Strata,11 to 15,864,18-Feb
39,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1860100,-,1292,Strata,06 to 10,1440,18-Feb
40,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,3082100,-,2056,Strata,31 to 35,1499,18-Feb
41,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1780000,-,1367,Strata,11 to 15,1302,18-Feb
42,LAKEVILLE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2013,Resale,1,1700000,-,1302,Strata,06 to 10,1305,18-Feb
43,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,900000,-,1055,Strata,11 to 15,853,18-Feb
44,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,960000,-,1195,Strata,06 to 10,803,18-Feb
45,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1288000,-,1184,Strata,06 to 10,1088,18-Feb
46,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,655000,-,603,Strata,01 to 05,1087,18-Feb
47,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 yrs lease commencing from 2013,Sub Sale,1,970000,-,700,Strata,01 to 05,1386,18-Feb
48,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,880000,-,1173,Strata,11 to 15,750,18-Jan
49,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,970000,-,926,Strata,06 to 10,1048,18-Jan
50,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,960000,-,861,Strata,06 to 10,1115,18-Jan
51,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1106000,-,1109,Strata,01 to 05,998,18-Jan
52,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1445000,-,1066,Strata,06 to 10,1356,18-Jan
53,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1460000,-,1399,Strata,11 to 15,1043,18-Jan
54,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1300000,-,893,Strata,01 to 05,1455,18-Jan
55,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1660000,-,1399,Strata,06 to 10,1186,18-Jan
56,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1040000,-,1001,Strata,11 to 15,1039,18-Jan
57,GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,Condominium,20,OCR,Freehold,Resale,1,1970000,-,1335,Strata,11 to 15,1476,18-Jan
58,BISHAN PARK CONDOMINIUM,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1991,Resale,1,1438000,-,1561,Strata,06 to 10,921,18-Jan
59,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1200000,-,1227,Strata,01 to 05,978,18-Jan
60,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,900000,-,1119,Strata,16 to 20,804,18-Jan
61,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,1065000,-,1173,Strata,11 to 15,908,18-Jan
62,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1960300,-,1259,Strata,11 to 15,1557,18-Jan
63,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,1038000,-,1227,Strata,01 to 05,846,18-Jan
64,SEASONS VIEW,PEMIMPIN DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1230000,-,1141,Strata,11 to 15,1078,18-Jan
65,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1700000,-,1141,Strata,11 to 15,1490,18-Jan
66,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2934700,-,2228,Strata,01 to 05,1317,18-Jan
67,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,720000,-,1033,Strata,06 to 10,697,18-Jan
68,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1515000,-,1216,Strata,11 to 15,1246,18-Jan
69,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,2000000,-,1765,Strata,01 to 05,1133,18-Jan
70,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1250000,-,1227,Strata,16 to 20,1019,18-Jan
71,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,873000,-,893,Strata,06 to 10,977,18-Jan
72,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,530000,-,431,Strata,01 to 05,1231,18-Jan
73,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1239999,-,1055,Strata,06 to 10,1175,18-Jan
74,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1250000,-,1378,Strata,11 to 15,907,18-Jan
75,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1345000,-,1238,Strata,11 to 15,1087,18-Jan
76,BISHAN 8,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1270000,-,1163,Strata,01 to 05,1092,18-Jan
77,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,1055000,-,1313,Strata,16 to 20,803,18-Jan
78,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1235000,-,1227,Strata,01 to 05,1006,18-Jan
79,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,3296319,-,2077,Strata,16 to 20,1587,18-Jan
80,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1784000,-,1302,Strata,01 to 05,1370,18-Jan
81,CLOVER BY THE PARK,BISHAN STREET 25,Condominium,20,RCR,99 yrs lease commencing from 2007,Resale,1,2150000,-,1765,Strata,31 to 35,1218,18-Jan
82,THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 yrs lease commencing from 1996,Resale,1,880000,-,893,Strata,06 to 10,985,18-Jan
83,THREE 11,UPPER THOMSON ROAD,Apartment,20,RCR,Freehold,Resale,1,750000,-,495,Strata,01 to 05,1515,18-Jan
84,LAKESIDE APARTMENTS,YUAN CHING ROAD,Apartment,22,OCR,99 yrs lease commencing from 1977,Resale,1,980000,-,1518,Strata,01 to 05,646,18-Jan
85,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1230000,-,958,Strata,16 to 20,1284,18-Jan
86,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,950000,-,1076,Strata,11 to 15,883,18-Jan
87,THOMSON THREE,BRIGHT HILL DRIVE,Apartment,20,RCR,99 yrs lease commencing from 2012,Resale,1,1800000,-,1141,Strata,16 to 20,1578,18-Jan
88,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,860000,-,1173,Strata,06 to 10,733,18-Jan
89,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1165000,-,1141,Strata,11 to 15,1021,18-Jan
90,THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,940000,-,883,Strata,16 to 20,1065,18-Jan
91,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1300000,-,1195,Strata,11 to 15,1088,18-Jan
92,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1310000,-,1001,Strata,11 to 15,1309,18-Jan
93,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2000981,-,1410,Strata,11 to 15,1419,18-Jan
94,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1914900,-,1281,Strata,21 to 25,1495,18-Jan
95,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1050000,-,1087,Strata,01 to 05,966,18-Jan
96,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1310000,-,807,Strata,21 to 25,1623,18-Jan
97,ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2000,Resale,1,850000,-,1173,Strata,11 to 15,724,18-Jan
98,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,655000,-,603,Strata,01 to 05,1087,18-Jan
99,LAKEVIEW ESTATE,UPPER THOMSON ROAD,Apartment,20,RCR,99 yrs lease commencing from 1977,Resale,1,2500000,-,3035,Strata,21 to 25,824,18-Jan
100,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1595000,-,1152,Strata,01 to 05,1385,18-Jan
101,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1600000,-,1152,Strata,01 to 05,1389,18-Jan
102,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1325000,-,1507,Strata,11 to 15,879,18-Jan
103,THOMSON IMPERIAL COURT,UPPER THOMSON ROAD,Apartment,20,RCR,Freehold,Resale,1,1600000,-,2153,Strata,01 to 05,743,18-Jan
104,RAFFLESIA CONDOMINIUM,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1280000,-,1195,Strata,16 to 20,1071,18-Jan
105,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1201000,-,861,Strata,16 to 20,1395,18-Jan
106,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1130000,-,818,Strata,01 to 05,1381,18-Jan
107,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1931000,-,1399,Strata,01 to 05,1380,17-Dec
108,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1045000,-,1001,Strata,06 to 10,1044,17-Dec
109,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1400000,-,947,Strata,11 to 15,1478,17-Dec
110,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2061500,-,1561,Strata,01 to 05,1321,17-Dec
111,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,920000,-,1184,Strata,11 to 15,777,17-Dec
112,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,610000,-,603,Strata,01 to 05,1012,17-Dec
113,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,931000,-,1324,Strata,01 to 05,703,17-Dec
114,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,905000,-,721,Strata,06 to 10,1255,17-Dec
115,LAKEHOLMZ,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 2001,Resale,1,1155000,-,1238,Strata,11 to 15,933,17-Dec
116,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Resale,1,1108000,-,603,Strata,26 to 30,1838,17-Dec
117,CASPIAN,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2008,Resale,1,1220000,-,1216,Strata,01 to 05,1003,17-Dec
118,LAKESIDE APARTMENTS,YUAN CHING ROAD,Apartment,22,OCR,99 yrs lease commencing from 1977,Resale,1,1040000,-,1518,Strata,06 to 10,685,17-Dec
119,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1204000,-,958,Strata,16 to 20,1257,17-Dec
120,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1350000,-,1001,Strata,21 to 25,1349,17-Dec
121,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,820000,-,850,Strata,01 to 05,964,17-Dec
122,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2075700,-,1518,Strata,01 to 05,1368,17-Dec
123,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,755000,-,893,Strata,16 to 20,845,17-Dec
124,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,900000,-,1076,Strata,01 to 05,836,17-Dec
125,GRANDEUR 8,ANG MO KIO CENTRAL 3,Condominium,20,OCR,99 yrs lease commencing from 2002,Resale,1,1245000,-,1281,Strata,01 to 05,972,17-Dec
126,FLAME TREE PARK,SIN MING AVENUE,Condominium,20,RCR,Freehold,Resale,1,1880000,-,1593,Strata,06 to 10,1180,17-Dec
127,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1200000,-,872,Strata,16 to 20,1376,17-Dec
128,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1360000,-,1464,Strata,01 to 05,929,17-Dec
129,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2331500,-,1550,Strata,11 to 15,1504,17-Dec
130,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1453000,-,872,Strata,01 to 05,1667,17-Dec
131,ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,Freehold,New Sale,1,1445000,-,872,Strata,01 to 05,1657,17-Dec
132,CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2001,Resale,1,950000,-,1324,Strata,01 to 05,718,17-Dec
133,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1050000,-,1270,Strata,01 to 05,827,17-Dec
134,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,530000,-,431,Strata,01 to 05,1231,17-Dec
135,J GATEWAY,GATEWAY DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2012,Resale,1,1850000,-,1206,Strata,26 to 30,1535,17-Dec
136,RAFFLESIA CONDOMINIUM,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1060000,-,915,Strata,01 to 05,1159,17-Dec
137,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1360000,-,1550,Strata,01 to 05,877,17-Dec
138,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,840800,-,495,Strata,06 to 10,1698,17-Dec
139,PARC OASIS,JURONG EAST AVENUE 1,Condominium,22,OCR,99 yrs lease commencing from 1991,Resale,1,1080000,-,1227,Strata,06 to 10,880,17-Dec
140,THE LAKEFRONT RESIDENCES,LAKESIDE DRIVE,Condominium,22,OCR,99 yrs lease commencing from 2010,Resale,1,1060000,-,721,Strata,16 to 20,1470,17-Dec
141,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years leasehold,New Sale,1,1114000,-,818,Strata,01 to 05,1362,17-Dec
142,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1633400,-,1163,Strata,01 to 05,1405,17-Dec
143,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1058000,-,775,Strata,01 to 05,1365,17-Dec
144,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1066000,-,775,Strata,01 to 05,1375,17-Dec
145,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2114700,-,1518,Strata,06 to 10,1393,17-Dec
146,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1160000,-,1109,Strata,06 to 10,1046,17-Dec
147,PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,533000,-,431,Strata,01 to 05,1238,17-Dec
148,WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 yrs lease commencing from 2011,Resale,1,650000,-,624,Strata,01 to 05,1041,17-Dec
149,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1893893,-,1281,Strata,21 to 25,1479,17-Dec
150,FAR HORIZON GARDENS,ANG MO KIO AVENUE 9,Condominium,20,OCR,99 yrs lease commencing from 1982,Resale,1,1620000,-,1948,Strata,06 to 10,832,17-Dec
151,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,1000000,-,1518,Strata,01 to 05,659,17-Dec
152,COUNTRY GRANDEUR,LORONG PUNTONG,Condominium,20,RCR,Freehold,Resale,1,1700000,-,1442,Strata,11 to 15,1179,17-Dec
153,BISHAN POINT,BRIGHT HILL DRIVE,Condominium,20,RCR,99 yrs lease commencing from 1997,Resale,1,1380000,-,1270,Strata,16 to 20,1086,17-Dec
154,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,1847000,-,1259,Strata,11 to 15,1467,17-Dec
155,CENTRO RESIDENCES,ANG MO KIO AVENUE 8,Condominium,20,OCR,99 yrs lease commencing from 2007,Resale,1,1240000,-,904,Strata,11 to 15,1371,17-Dec
156,PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 yrs lease commencing from 1995,Resale,1,1080000,-,1281,Strata,01 to 05,843,17-Dec
157,WOODGROVE CONDOMINIUM,WOODGROVE DRIVE,Condominium,25,OCR,99 yrs lease commencing from 1997,Resale,1,1945000,-,3132,Strata,01 to 05,621,17-Dec
158,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2044700,-,1399,Strata,21 to 25,1461,17-Dec
159,SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2013,Resale,1,1188000,-,797,Strata,06 to 10,1491,17-Dec
160,THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 yrs lease commencing from 2002,Resale,1,1302800,-,1184,Strata,06 to 10,1100,17-Dec
161,BISHAN 8,BISHAN STREET 21,Condominium,20,RCR,99 yrs lease commencing from 1996,Resale,1,1200000,-,1163,Strata,01 to 05,1032,17-Dec
162,THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 yrs lease commencing from 2010,Resale,1,1700000,-,1378,Strata,06 to 10,1234,17-Dec
163,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1062000,-,775,Strata,01 to 05,1370,17-Dec
164,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2681600,-,1830,Strata,16 to 20,1465,17-Dec
165,LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 yrs lease commencing from 2015,New Sale,1,1034000,-,775,Strata,06 to 10,1334,17-Dec
166,THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 yrs lease commencing from 2006,Resale,1,1390000,-,1238,Strata,06 to 10,1123,17-Dec
