"URBAN REDEVELOPMENT AUTHORITY - RENTAL CONTRACTS OF PRIVATE RESIDENTIAL PROPERTIES"

"S/N","Building/Project Name","Street Name","Postal District","Type","No. of Bedroom(for Non-Landed Only)","Monthly Gross Rent($)","Floor Area (sq m)","Lease Commencement Date"
"1519","LA CASA","WOODLANDS DRIVE 16","25","Executive Condominium","2","2000","90 to 100","Feb-2015"
"1520","NORTHOAKS","WOODLANDS CRESCENT","25","Executive Condominium","2","2400","90 to 100","Feb-2015"
"1521","BISHAN LOFT","BISHAN STREET 11","20","Executive Condominium","3","4300","120 to 130","Feb-2015"
"1522","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","2800","110 to 120","Feb-2015"
"1523","SUMMERDALE","BOON LAY DRIVE","22","Executive Condominium","3","3000","110 to 120","Feb-2015"
,
1523 record(s) retrieved based on user-specific search criteria

"Search By Property Type ("Executive Condominiums),From Date (FEB-2015) , To Date (JAN-2018) & Postal Districts: 20, 22, 25

"Notes:"
"To convert Sqm to Sqft, multiply by a factor 10.764."
